"Part";"Value";"Device";"Footprint Name";"Detailed Description";"";
"ANT1";"2450AT18B100E";"2450AT18B100E_2450AT18B100E";"2450AT18B100E_ANTC3216X140N";"Antennas 2.45GHz ANTENNA";"";
"C1";"12pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C1-EP-DR";"10uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C2";"12pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C2-EP-DR";"4.7uF/25V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C3";"1pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C4";"1pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C5";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C6";"4.7uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C7";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C8";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C9";"820pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C10";"N.C.";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C11";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C12";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C13";"N.C.";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C14";"4.7uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C15";"1.0uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C16";"47nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C17";"12pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C18";"12pF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C19";"100nF";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C20";"4.7uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C21";"4.7uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C22";"N.C.";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"C23";"0.1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";
"C24";"10uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C25";"22uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C27";"0.1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";
"C29";"1uF";"GRM011R60J152KE01L_1_GRM011R60J152KE01L";"GRM011R60J152KE01L_1_0201";"Check availability";"";
"C30";"1uF";"GRM011R60J152KE01L_1_GRM011R60J152KE01L";"GRM011R60J152KE01L_1_0201";"Check availability";"";
"C31";"1uF";"GRM011R60J152KE01L_1_GRM011R60J152KE01L";"GRM011R60J152KE01L_1_0201";"Check availability";"";
"C32";"1uF";"GRM011R60J152KE01L_1_GRM011R60J152KE01L";"GRM011R60J152KE01L_1_0201";"Check availability";"";
"C33";"22uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C34";"0.1uF";"GRM011R60J152KE01L_1_GRM011R60J152KE01L";"GRM011R60J152KE01L_1_0201";"Check availability";"";
"C37";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";
"C38";"1uF";"GRM011R60J152KE01L_2_GRM011R60J152KE01L";"GRM011R60J152KE01L_2_CAPC0201X13N";"Check availability";"";
"C39";"10uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"C42";"0.1uF";"GRM011R60J152KE01L_1_GRM011R60J152KE01L";"GRM011R60J152KE01L_1_0201";"Check availability";"";
"C43";"4.7uF";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"D2";"MBR0530";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_SOD3716X135N";"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123";"";
"D3";"USBLC6-2SC6Y";"ESP32_C6_LIBRARY_3_USBLC6-2SC6Y";"ESP32_C6_LIBRARY_3_SOT95P280X145-6N";"Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23";"";
"D4";"MBR0530";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_SOD3716X135N";"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123";"";
"D5";"MBR0530";"ESP32_C6_LIBRARY_5_MBR0530";"ESP32_C6_LIBRARY_5_SOD3716X135N";"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123";"";
"EPD_C1";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C2";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C5";"0.1uF/50V";"NORDIC_NRF_3_CAPACITOR_0201_L";"NORDIC_NRF_3_RESC0201_L";"Generic chip capacitor";"";
"EPD_C6";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C7";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C8";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C9";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C10";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C11";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"EPD_C12";"1uF/50V";"NORDIC_NRF_3_CAPACITOR_0402_L";"NORDIC_NRF_3_RESC0402_L";"Generic chip capacitor";"";
"IC1";"BQ25180YBGR_BQ25180YBGR";"BQ25180YBGR_BQ25180YBGR";"BQ25180YBGR_BGA8C40P2X4_100X155X50";"Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1)";"";
"IC2";"DRV2605YZFR";"DRV2605YZFR_DRV2605YZFR";"DRV2605YZFR_BGA9C50P3X3_144X144X62";"Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture";"";
"IC3";"BMA423";"BMA423_BMA423";"BMA423_BMA423";"Accelerometers Triaxial low-g 12bit Acceleration Sensor";"";
"IC9";"RT6160AWSC";"RT6160AWSC_RT6160AWSC";"RT6160AWSC_BGA15C40P3X5_140X230X60";"Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3)";"";
"J1";"503480-2400";"503480-2400_503480-2400";"503480-2400_5034802400";"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt";"";
"J2";"TC2030-IDC";"TC2030-IDC_TC2030-IDC";"TC2030-IDC_TC2030IDC";"CABLE ADAPTER 6 POS";"";
"J4";"KH-TYPE-C-16P";"KH-TYPE-C-16P_KH-TYPE-C-16P";"KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P";"Check availability";"";
"L1";"3.9nH";"MLP2016SR47MT0S1_FTC252012SR47MBCA";"MLP2016SR47MT0S1_INDC2016X100N";"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :";"";
"L2";"10uH";"MLP2016SR47MT0S1_FTC252012SR47MBCA";"MLP2016SR47MT0S1_INDC2016X100N";"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :";"";
"L3";"15uH";"MLP2016SR47MT0S1_FTC252012SR47MBCA";"MLP2016SR47MT0S1_INDC2016X100N";"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :";"";
"L5";"68uH";"ESP32_C6_LIBRARY_2_744043680IND_4828-WE-TPC_WRE";"ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE";"";"";
"L7";"FTC252012SR47MBCA";"MLP2016SR47MT0S1_FTC252012SR47MBCA";"MLP2016SR47MT0S1_INDC2016X100N";"SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :";"";
"Q1";"20V/4.2A/52mO/1.4W";"ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7";"ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3";"P-channel MOSFETs";"";
"Q3";"SI1308EDL-T1-GE3";"ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3";"ESP32_C6_LIBRARY_6_SOT65P210X110-3N";"MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70";"";
"R1_EP_DR";"0.47";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R1_USB";"5K1";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R2";"0";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R2_EP_DR";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R2_USB";"5K1";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R3";"0";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R4";"0";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R5";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R7";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R8";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R9";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R17";"3K3";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R18";"3K3";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R_PWR_EPD";"10K";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"R_TYPE_SEL";"2.2";"ERA-1AEB3401C_CPF0201D7K68C1";"ERA-1AEB3401C_0201";"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1";"";
"SJ1";"";"ESP32_C6_LIBRARY_7_JUMPER_SJ";"ESP32_C6_LIBRARY_7_JUMPER_SJ";"SMD solder JUMPER";"";
"SW_DN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN";"";"";
"SW_ENT";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN";"";"";
"SW_UP";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN";"2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN";"";"";
"TP_3.3V";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_3V3";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_BAT_GND";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_GND";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_ON";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_OP";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_RESET";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_SCL";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_SDA";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_SWDCLK";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_SWDIO";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_SWO";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_VBAT";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"TP_VREG";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TPTP20R";"HECTOR_WATCH_1_TP20R";"Test pad";"";
"U1";"NRF52840_QF";"NORDIC_NRF_4_NRF52840_QF";"NORDIC_NRF_4_AQFN50P700X700X85_HS-74N";"nRF52840";"";
"U3";"MAX17048G+T10";"ESP32_C6_LIBRARY_MAX17048G+T10";"ESP32_C6_LIBRARY_SON50P200X200X80-9N";"Check availability";"";
"X1";"32MHz";"NORDIC_NRF_XTAL_32MHZ";"NORDIC_NRF_BT-XTAL_2016_N";"";"";
"X2";"32.768kHz";"NORDIC_NRF_1_XTAL_32KHZ";"NORDIC_NRF_1_XTAL_3215_N";"";"";
